"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"125","Religious workers, all other","Education, Legal, Community Service, Arts, and Media","Community and Social Service",41694,19827,21867,52.4,36496,40454,35612,88.0308498541553,2020-01-01
"126","Lawyers","Education, Legal, Community Service, Arts, and Media","Legal",852860,568201,284659,33.4,120617,127337,101640,79.8196910560167,2020-01-01
"127","Judicial law clerks","Education, Legal, Community Service, Arts, and Media","Legal",11115,4920,6195,55.7,55545,54778,55883,NA,2020-01-01
"128","Judges, magistrates, and other judicial workers","Education, Legal, Community Service, Arts, and Media","Legal",55881,32209,23672,42.4,100619,115636,83173,71.9265626621467,2020-01-01
"129","Paralegals and legal assistants","Education, Legal, Community Service, Arts, and Media","Legal",307815,45422,262393,85.2,46562,50498,46061,91.2135134064716,2020-01-01
"130","Miscellaneous legal support workers","Education, Legal, Community Service, Arts, and Media","Legal",148521,40412,108109,72.8,46748,60958,43663,71.6280061681814,2020-01-01
"131","Postsecondary teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",836986,457786,379200,45.3,65463,71414,60359,84.5198420477777,2020-01-01
"132","Preschool and kindergarten teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",316025,8298,307727,97.4,24347,30067,24257,80.6764891741777,2020-01-01
"133","Elementary and middle school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",2282888,503434,1779454,77.9,48874,51986,47521,91.4111491555419,2020-01-01
"134","Secondary school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",541598,240315,301283,55.6,50810,52819,49048,92.8605236751926,2020-01-01
"135","Special education teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",165928,25578,140350,84.6,47264,46932,47378,100.950311088383,2020-01-01
"136","Other teachers and instructors","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",359794,169655,190139,52.8,43740,50250,40132,79.8646766169154,2020-01-01
"137","Archivists, curators, and museum technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",31925,13316,18609,58.3,51704,58285,46130,79.1455777644334,2020-01-01
"138","Librarians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",111952,19727,92225,82.4,48892,51879,48005,92.5326239904393,2020-01-01
"139","Library technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",16163,3583,12580,77.8,31698,38063,31014,NA,2020-01-01
"140","Teacher assistants","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",371321,44030,327291,88.1,21125,25873,20748,80.1917056390832,2020-01-01
"141","Other education, training, and library workers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",88624,26398,62226,70.2,51516,55834,50756,90.9051832216929,2020-01-01
"142","Artists and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",116825,75425,41400,35.4,49197,54669,37261,68.1574566939216,2020-01-01
"143","Designers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",552419,303391,249028,45.1,50461,55658,44269,79.5375327895361,2020-01-01
"144","Actors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",12456,8445,4011,32.2,40438,40745,37149,NA,2020-01-01
"145","Producers and directors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",117967,73980,43987,37.3,63715,62368,66226,106.185864545921,2020-01-01
"146","Athletes, coaches, umpires, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",114456,83451,31005,27.1,43373,46602,36682,78.7133599416334,2020-01-01
"147","Dancers and choreographers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",5424,1239,4185,77.2,31678,50701,30782,NA,2020-01-01
"148","Musicians, singers, and related workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",60370,48227,12143,20.1,42746,42988,42279,98.3507025216339,2020-01-01
"149","Entertainers and performers, sports and related workers, all other","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",14230,9381,4849,34.1,40633,42245,32475,NA,2020-01-01
"150","Announcers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",25670,20703,4967,19.3,40913,40829,41437,NA,2020-01-01
"151","News analysts, reporters and correspondents","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",52566,29289,23277,44.3,50711,55156,45994,83.3889332076293,2020-01-01
"152","Public relations specialists","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",97408,38545,58863,60.4,63966,76638,58483,76.310707481928,2020-01-01
"153","Editors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",117721,59523,58198,49.4,52746,55899,51884,92.8174028157928,2020-01-01
"154","Technical writers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",43977,19964,24013,54.6,69242,75598,61511,81.3659091510357,2020-01-01
"155","Writers and authors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",121198,57902,63296,52.2,53964,60192,51219,85.0927033492823,2020-01-01
"156","Miscellaneous media and communication workers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",45120,17870,27250,60.4,42033,46135,40256,87.2569632599978,2020-01-01
"157","Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",68484,62777,5707,8.3,50514,50378,52954,NA,2020-01-01
"158","Photographers","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",80489,48494,31995,39.8,38052,44513,30455,68.4182149035113,2020-01-01
"159","Television, video, and motion picture camera operators and editors","Education, Legal, Community Service, Arts, and Media","Arts, Design, Entertainment, Sports, and Media",28620,25400,3220,11.3,50835,51081,42205,NA,2020-01-01
"160","Chiropractors","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",34499,27139,7360,21.3,70513,72468,60223,83.1028867914114,2020-01-01
"161","Dentists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",97562,74382,23180,23.8,141557,151071,102460,67.8224146262353,2020-01-01
"162","Dietitians and nutritionists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",61437,7250,54187,88.2,47997,49001,47717,97.379645313361,2020-01-01
"163","Optometrists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",25610,16298,9312,36.4,103805,120521,96186,79.8084981040649,2020-01-01
"164","Pharmacists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",205734,98972,106762,51.9,116468,120792,111809,92.5632492218028,2020-01-01
"165","Physicians and surgeons","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",737546,495061,242485,32.9,182232,202533,140036,69.1423126107844,2020-01-01
"166","Physician assistants","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",100572,35720,64852,64.5,81522,93791,76396,81.4534443603331,2020-01-01
"167","Podiatrists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",6757,5184,1573,23.3,120367,126978,62064,NA,2020-01-01
"168","Audiologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",10771,3078,7693,71.4,76440,82289,75339,NA,2020-01-01
"169","Occupational therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",59239,6903,52336,88.3,68270,75740,67164,88.6770530763137,2020-01-01
"170","Physical therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",136392,49118,87274,64,72260,80411,70509,87.6857643854697,2020-01-01
"171","Radiation therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",14694,5731,8963,61,75639,84219,68886,NA,2020-01-01
"172","Recreational therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",9144,3265,5879,64.3,41923,42004,41782,NA,2020-01-01
"173","Respiratory therapists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",84482,32234,52248,61.8,54303,60677,51864,85.4755508677093,2020-01-01
"174","Speech-language pathologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",77904,3626,74278,95.3,60695,68346,60552,NA,2020-01-01
"175","Miscellaneous therapists, including exercise physiologists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",99008,24425,74583,75.3,46743,50295,46040,91.5399145044239,2020-01-01
"176","Veterinarians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",57599,29223,28376,49.3,86490,96582,80681,83.5362696982875,2020-01-01
"177","Registered nurses","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",2061647,238183,1823464,88.4,62265,67990,61946,91.1104574202089,2020-01-01
"178","Nurse anesthetists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",21664,8259,13405,61.9,147152,150870,142185,94.243388347584,2020-01-01
"179","Nurse midwives","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",2817,0,2817,100,90174,NA,90174,NA,2020-01-01
"180","Nurse practitioners","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",81140,8332,72808,89.7,91766,106141,91276,85.9950443278281,2020-01-01
"181","Health diagnosing and treating practitioners, all other","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",10251,4314,5937,57.9,48175,52729,42025,NA,2020-01-01
"182","Clinical laboratory technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",245751,65488,180263,73.4,45326,46941,44623,95.0618861975672,2020-01-01
"183","Dental hygienists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",61825,3320,58505,94.6,52043,53709,51972,NA,2020-01-01
"184","Diagnostic related technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",237127,74756,162371,68.5,55482,60703,52950,87.2279788478329,2020-01-01
"185","Emergency medical technicians and paramedics","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",157684,110916,46768,29.7,41670,43647,37023,84.8236992233143,2020-01-01
"186","Health practitioner support technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",350939,73031,277908,79.2,31788,35640,31292,87.8002244668911,2020-01-01
"187","Licensed practical and licensed vocational nurses","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",442709,43277,399432,90.2,40031,42442,39562,93.2142688845955,2020-01-01
"188","Medical records and health information technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",90186,9831,80355,89.1,31530,36960,31126,84.215367965368,2020-01-01
"189","Opticians, dispensing","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",39047,11901,27146,69.5,35580,42128,32267,76.5927649069503,2020-01-01
"190","Miscellaneous health technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",90586,33686,56900,62.8,41660,47830,39277,82.1179176249216,2020-01-01
"191","Other healthcare practitioners and technical","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",72636,44786,27850,38.3,55942,60786,47405,77.9867074655348,2020-01-01
"192","Nursing, psychiatric, and home health aides","Service","Healthcare Support",1397113,219944,1177169,84.3,25909,30408,25362,83.405682715075,2020-01-01
"193","Occupational therapy assistants and aides","Service","Healthcare Support",10875,1945,8930,82.1,48814,50311,48606,NA,2020-01-01
"194","Physical therapist assistants and aides","Service","Healthcare Support",44581,12122,32459,72.8,41994,46313,41098,88.7396627296871,2020-01-01
"195","Massage therapists","Service","Healthcare Support",57261,13680,43581,76.1,29253,29272,29240,99.8906805138016,2020-01-01
"196","Dental assistants","Service","Healthcare Support",147438,8460,138978,94.3,30308,26823,30399,NA,2020-01-01
"197","Medical assistants","Service","Healthcare Support",330718,24072,306646,92.7,28760,29894,28661,95.8754265069914,2020-01-01
"198","Medical transcriptionists","Service","Healthcare Support",31868,1221,30647,96.2,31933,40429,31772,NA,2020-01-01
"199","Pharmacy aides","Service","Healthcare Support",22034,5644,16390,74.4,29851,30645,29383,NA,2020-01-01
"200","Veterinary assistants and laboratory animal caretakers","Service","Healthcare Support",23366,4416,18950,81.1,22858,26551,22461,NA,2020-01-01
"201","Phlebotomists","Service","Healthcare Support",75727,11061,64666,85.4,31062,34855,30732,88.1709941184909,2020-01-01
"202","Healthcare support workers, all other, including medical equipment preparers","Service","Healthcare Support",94391,28907,65484,69.4,28604,32130,26452,82.3280423280423,2020-01-01
"203","First-line supervisors of correctional officers","Service","Protective Service",49105,34261,14844,30.2,49986,54853,44324,80.8050607988624,2020-01-01
"204","First-line supervisors of police and detectives","Service","Protective Service",102581,87467,15114,14.7,73155,75566,65227,86.3179207580129,2020-01-01
"205","First-line supervisors of fire fighting and prevention workers","Service","Protective Service",47968,45815,2153,4.5,86462,87065,68891,NA,2020-01-01
"206","First-line supervisors of protective service workers, all other","Service","Protective Service",73041,53093,19948,27.3,47876,50239,44965,89.5021795816,2020-01-01
"207","Firefighters","Service","Protective Service",256196,246017,10179,4,62189,62361,57346,91.9581148474207,2020-01-01
"208","Fire inspectors","Service","Protective Service",16734,15065,1669,10,56114,55777,60478,NA,2020-01-01
"209","Bailiffs, correctional officers, and jailers","Service","Protective Service",387955,281897,106058,27.3,42043,45432,37042,81.5328402887832,2020-01-01
"210","Detectives and criminal investigators","Service","Protective Service",117375,87855,29520,25.2,71169,75025,59386,79.1549483505498,2020-01-01
"211","Fish and game wardens","Service","Protective Service",3308,3245,63,1.9,44924,47679,NA,NA,2020-01-01
"212","Parking enforcement workers","Service","Protective Service",4876,2638,2238,45.9,36589,40588,32217,NA,2020-01-01
"213","Police and sheriff's patrol officers","Service","Protective Service",623338,539272,84066,13.5,61313,61694,56541,91.6474859791876,2020-01-01
"214","Transit and railroad police","Service","Protective Service",2623,1977,646,24.6,53590,55521,51100,NA,2020-01-01
"215","Animal control workers","Service","Protective Service",10552,7135,3417,32.4,35527,35656,32462,NA,2020-01-01
"216","Private detectives and investigators","Service","Protective Service",68657,39367,29290,42.7,50892,56439,45436,80.5046156026861,2020-01-01
"217","Security guards and gaming surveillance officers","Service","Protective Service",668775,518657,150118,22.4,30421,30546,29883,97.8295030445885,2020-01-01
"218","Crossing guards","Service","Protective Service",8589,4388,4201,48.9,31094,31471,30767,NA,2020-01-01
"219","Transportation security screeners","Service","Protective Service",21025,13467,7558,35.9,41104,40732,41751,102.501718550525,2020-01-01
"220","Lifeguards and other recreational, and all other protective service workers","Service","Protective Service",32041,17049,14992,46.8,30781,32037,27889,87.0524705808908,2020-01-01
"221","Chefs and head cooks","Service","Food Preparation and Serving Related",303612,252537,51075,16.8,30267,30810,25534,82.8756897111328,2020-01-01
"222","First-line supervisors of food preparation and serving workers","Service","Food Preparation and Serving Related",374711,176476,198235,52.9,24828,27453,22506,81.9801114632281,2020-01-01
"223","Cooks","Service","Food Preparation and Serving Related",1111982,700025,411957,37,20319,21063,18581,88.2163034705408,2020-01-01
"224","Food preparation workers","Service","Food Preparation and Serving Related",302338,142050,160288,53,19063,19870,18376,92.4811273276296,2020-01-01
"225","Bartenders","Service","Food Preparation and Serving Related",203401,104261,99140,48.7,26403,28682,23849,83.149710619901,2020-01-01
"226","Combined food preparation and serving workers, including fast food","Service","Food Preparation and Serving Related",114984,41054,73930,64.3,19623,20150,19325,95.9057071960298,2020-01-01
"227","Counter attendants, cafeteria, food concession, and coffee shop","Service","Food Preparation and Serving Related",30891,10920,19971,64.6,17544,20304,16771,82.599487785658,2020-01-01
"228","Waiters and waitresses","Service","Food Preparation and Serving Related",680777,243097,437680,64.3,20980,23802,19524,82.0267204436602,2020-01-01
"229","Food servers, nonrestaurant","Service","Food Preparation and Serving Related",69554,24402,45152,64.9,23025,23729,22775,95.9796030174049,2020-01-01
"230","Dining room and cafeteria attendants and bartender helpers","Service","Food Preparation and Serving Related",86785,56021,30764,35.4,19562,20378,17663,86.676808322701,2020-01-01
"231","Dishwashers","Service","Food Preparation and Serving Related",102959,86995,15964,15.5,17307,17302,17332,100.173390359496,2020-01-01
"232","Hosts and hostesses, restaurant, lounge, and coffee shop","Service","Food Preparation and Serving Related",42666,7262,35404,83,18040,23444,17260,NA,2020-01-01
"233","Food preparation and serving related workers, all other","Service","Food Preparation and Serving Related",3940,1191,2749,69.8,18510,12147,20039,NA,2020-01-01
"234","First-line supervisors of housekeeping and janitorial workers","Service","Building and Grounds Cleaning and Maintenance",182546,123092,59454,32.6,35629,41180,26860,65.2258377853327,2020-01-01
"235","First-line supervisors of landscaping, lawn service, and groundskeeping workers","Service","Building and Grounds Cleaning and Maintenance",112776,108132,4644,4.1,38990,39564,31980,NA,2020-01-01
"236","Janitors and building cleaners","Service","Building and Grounds Cleaning and Maintenance",1519858,1149371,370487,24.4,26845,29685,21592,72.737072595587,2020-01-01
"237","Maids and housekeeping cleaners","Service","Building and Grounds Cleaning and Maintenance",737561,127620,609941,82.7,20422,24397,19752,80.9607738656392,2020-01-01
"238","Pest control workers","Service","Building and Grounds Cleaning and Maintenance",53799,51894,1905,3.5,33351,33871,24899,NA,2020-01-01
"239","Grounds maintenance workers","Service","Building and Grounds Cleaning and Maintenance",728064,693654,34410,4.7,23545,23639,21996,93.0496213883836,2020-01-01
"240","First-line supervisors of gaming workers","Service","Personal Care and Service",58437,33458,24979,42.7,41245,45980,37178,80.8568943018704,2020-01-01
"241","First-line supervisors of personal service workers","Service","Personal Care and Service",98491,47150,51341,52.1,33932,40006,30871,77.1659251112333,2020-01-01
"242","Animal trainers","Service","Personal Care and Service",27354,12684,14670,53.6,27188,29644,26400,89.0568074483875,2020-01-01
"243","Nonfarm animal caretakers","Service","Personal Care and Service",103783,31762,72021,69.4,24547,25025,24401,97.5064935064935,2020-01-01
"244","Gaming services workers","Service","Personal Care and Service",64709,33752,30957,47.8,36477,37441,35023,93.5418391602788,2020-01-01
"245","Motion picture projectionists","Service","Personal Care and Service",2083,1989,94,4.5,31391,31291,100508,NA,2020-01-01
"246","Ushers, lobby attendants, and ticket takers","Service","Personal Care and Service",5964,2920,3044,51,22057,29552,20904,NA,2020-01-01
"247","Miscellaneous entertainment attendants and related workers","Service","Personal Care and Service",47151,26402,20749,44,25143,25928,24154,93.1579759333539,2020-01-01
"248","Embalmers and funeral attendants","Service","Personal Care and Service",6643,4600,2043,30.8,26042,27020,19780,NA,2020-01-01
"249","Morticians, undertakers, and funeral directors","Service","Personal Care and Service",28279,22551,5728,20.3,47219,51129,31023,60.6759373349762,2020-01-01
"250","Barbers","Service","Personal Care and Service",68648,57663,10985,16,21874,22321,18509,82.9219121007123,2020-01-01
"251","Hairdressers, hairstylists, and cosmetologists","Service","Personal Care and Service",434564,52142,382422,88,24855,31224,23943,76.6813989239047,2020-01-01
"252","Miscellaneous personal appearance workers","Service","Personal Care and Service",159831,33519,126312,79,21724,22047,21632,98.1176577312106,2020-01-01
"253","Baggage porters, bellhops, and concierges","Service","Personal Care and Service",59390,46419,12971,21.8,31416,31799,30572,96.1413880939652,2020-01-01
"254","Tour and travel guides","Service","Personal Care and Service",15628,9572,6056,38.8,29404,29043,30413,NA,2020-01-01
"255","Childcare workers","Service","Personal Care and Service",536474,29929,506545,94.4,20056,21832,19931,91.2925980212532,2020-01-01
"256","Personal care aides","Service","Personal Care and Service",576620,105440,471180,81.7,21898,24244,21557,88.9168454050487,2020-01-01
"257","Recreation and fitness workers","Service","Personal Care and Service",163532,72807,90725,55.5,31044,35636,28203,79.1418789987653,2020-01-01
"258","Residential advisors","Service","Personal Care and Service",24461,9448,15013,61.4,26098,27339,25074,91.7151322286843,2020-01-01
"259","Personal care and service workers, all other","Service","Personal Care and Service",48690,33740,14950,30.7,25529,26597,21820,82.0393277437305,2020-01-01
"260","First-line supervisors of retail sales workers","Sales and Office","Sales and Related",2563806,1465356,1098450,42.8,38265,44856,31897,71.1097734974139,2020-01-01
"261","First-line supervisors of non-retail sales workers","Sales and Office","Sales and Related",1030338,751705,278633,27,60403,61556,53770,87.3513548638638,2020-01-01
