"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"1609","Meeting, convention, and event planners","Management, Business, and Financial","Business and Financial Operations",96349,24116,72233,74.9701605621231,46598,42729,47221,110.512766505184,2022-06-01
"1610","Fundraisers","Management, Business, and Financial","Business and Financial Operations",68581,20709,47872,69.8035899155743,66048,77186,64272,83.2689866037882,2022-06-01
"1611","Market research analysts and marketing specialists","Management, Business, and Financial","Business and Financial Operations",237008,103644,133364,56.2698305542429,70985,82565,64398,77.9967298492097,2022-06-01
"1612","Business operations specialists, all other","Management, Business, and Financial","Business and Financial Operations",236553,110674,125879,53.2138675053793,61811,73014,52499,71.9026488070781,2022-06-01
"1613","Accountants and auditors","Management, Business, and Financial","Business and Financial Operations",1628824,656553,972271,59.6915934441045,63740,76129,57370,75.3589302368348,2022-06-01
"1614","Appraisers and assessors of real estate","Management, Business, and Financial","Business and Financial Operations",73690,50409,23281,31.5931605373863,60533,62298,50291,80.7265080740955,2022-06-01
"1615","Budget analysts","Management, Business, and Financial","Business and Financial Operations",42410,16123,26287,61.9830228719642,71237,75399,68955,91.4534675526201,2022-06-01
"1616","Credit analysts","Management, Business, and Financial","Business and Financial Operations",26382,12589,13793,52.2818588431506,53909,58520,51419,87.8656869446343,2022-06-01
"1617","Financial analysts","Management, Business, and Financial","Business and Financial Operations",194932,117808,77124,39.5645661051033,82415,93203,73427,78.7817988691351,2022-06-01
"1618","Personal financial advisors","Management, Business, and Financial","Business and Financial Operations",327459,231444,96015,29.3212280010627,91150,101634,69479,68.3619654839916,2022-06-01
"1619","Insurance underwriters","Management, Business, and Financial","Business and Financial Operations",98194,36949,61245,62.3714279894902,61197,73389,56465,76.9393233318345,2022-06-01
"1620","Financial examiners","Management, Business, and Financial","Business and Financial Operations",14812,7827,6985,47.1577099648933,79594,85285,70328,82.4623321803365,2022-06-01
"1621","Credit counselors and loan officers","Management, Business, and Financial","Business and Financial Operations",292543,132203,160340,54.8090366202575,59219,76686,50325,65.62475549644,2022-06-01
"1622","Tax examiners and collectors, and revenue agents","Management, Business, and Financial","Business and Financial Operations",42395,15901,26494,62.4932185399222,51797,61586,50296,81.6679115383366,2022-06-01
"1623","Tax preparers","Management, Business, and Financial","Business and Financial Operations",55325,23690,31635,57.1802982376864,55336,70019,48033,68.5999514417515,2022-06-01
"1624","Financial specialists, all other","Management, Business, and Financial","Business and Financial Operations",47467,22881,24586,51.79598457876,61271,85274,50828,59.605506954054,2022-06-01
"1625","Computer and information research scientists","Computer, Engineering, and Science","Computer and mathematical",16406,13203,3203,19.5233451176399,101205,102464,90480,NA,2022-06-01
"1626","Computer systems analysts","Computer, Engineering, and Science","Computer and mathematical",448325,267043,181282,40.4353984274801,80219,85192,72409,84.9950699596206,2022-06-01
"1627","Information security analysts","Computer, Engineering, and Science","Computer and mathematical",74659,60291,14368,19.2448331748349,91119,93450,85895,91.9154628143392,2022-06-01
"1628","Computer programmers","Computer, Engineering, and Science","Computer and mathematical",370512,293334,77178,20.8300945718357,85795,87064,80528,92.492878801801,2022-06-01
"1629","Software developers, applications and systems software","Computer, Engineering, and Science","Computer and mathematical",1124661,918865,205796,18.2984917232837,100760,101969,88759,87.0450823289431,2022-06-01
"1630","Web developers","Computer, Engineering, and Science","Computer and mathematical",138048,92611,45437,32.9139140009272,63173,67356,56860,84.4171269077736,2022-06-01
"1631","Computer support specialists","Computer, Engineering, and Science","Computer and mathematical",553718,418848,134870,24.3571637548355,58027,60363,52699,87.3034806089823,2022-06-01
"1632","Database administrators","Computer, Engineering, and Science","Computer and mathematical",99602,62319,37283,37.4319792775245,81082,90749,60838,67.039857188509,2022-06-01
"1633","Network and computer systems administrators","Computer, Engineering, and Science","Computer and mathematical",192293,157000,35293,18.3537622274342,73483,74896,69127,92.2973189489425,2022-06-01
"1634","Computer network architects","Computer, Engineering, and Science","Computer and mathematical",92872,86504,6368,6.85674907399431,98374,98123,100471,102.392915014828,2022-06-01
"1635","Computer , all other","Computer, Engineering, and Science","Computer and mathematical",569272,445016,124256,21.8271757613232,70492,71112,66521,93.5439869501631,2022-06-01
"1636","Actuaries","Computer, Engineering, and Science","Computer and mathematical",25197,17769,7428,29.4796999642815,108576,125465,92500,73.7257402462838,2022-06-01
"1637","Mathematicians","Computer, Engineering, and Science","Computer and mathematical",1288,1035,253,19.6428571428571,121912,130431,81991,NA,2022-06-01
"1638","Operations research analysts","Computer, Engineering, and Science","Computer and mathematical",126989,63903,63086,49.6783185945239,81092,85955,76005,88.4241754406376,2022-06-01
